ID,filename,band_abbrev,abbrev_type,date_format,date_parsed,mics_etc
93f411f76c3f5ee5ea3c5ad757b1be7262b7f9f9,headforthehills2016-06-11t01.sbd.cm300s.cp1s.mtx.16bit.flac,headforthehills,assigned,yyyy-mm-dd,2016-06-11 00:00:00,t01.sbd.cm300s.cp1s.mtx.16bit
4ba1b873af905be5ca2343fa11e453ee5cbe03ce,jg+ms 1974-11-8d1t01.shn,jg+ms,assigned,otros,,
fddc47a8860b02783b122da3eaeada7033971848,jg+ms1974-11-09bd1t03.shn,jg+ms,assigned,yyyy-mm-dd,1974-11-09 00:00:00,bd1t03
ecd105f67091e529083d693020aaa1aa81490e25,gd1992-12-13d1t05fixed.shn,gd,canonical,yyyy-mm-dd,1992-12-13 00:00:00,d1t05fixed
f02aacdbdde76287ca5cd17f487418e2992149c6,gd80-09-06d1t01.shn,gd,canonical,yy-mm-dd,1980-09-06 00:00:00,d1t01
07c3ebed47a6cb17afafb71ed4d6d943f7382eac,gd80-09-06audd1t01.flac,gd,canonical,yy-mm-dd,1980-09-06 00:00:00,audd1t01
15671280634a3e87f1a6d032e09bb26fadabc83d,gd80-09-06d1t01.flac,gd,canonical,yy-mm-dd,1980-09-06 00:00:00,d1t01
ddbaea0b694a4c0deaa8f75156446b8e7adea2d6,JG MS 201.flac,jg ms,assigned,otros,,
0a0c56b4e0a8ed0a6553d0d266ba59170a6e8d92,gd92-12-13s1t01.flac,gd,canonical,yy-mm-dd,1992-12-13 00:00:00,s1t01
acd541a48ea3a4f6c007f29b821cc3860b38361b,gd92-12-13d1t01.flac,gd,canonical,yy-mm-dd,1992-12-13 00:00:00,d1t01
d810699ee2e9436f5ac4a54e86a07d3065613403,deadandco2016-07-07akg481set1t01.flac,deadandco,assigned,yyyy-mm-dd,2016-07-07 00:00:00,akg481set1t01
05538cc38f68fd8cf4da7d4d7cba07190a6fa430,deadandco2016-06-25s1t01.spyder9.flac16.flac,deadandco,assigned,yyyy-mm-dd,2016-06-25 00:00:00,s1t01.spyder9.flac16
0adf1d1ecfe11bf43ccc6140a01d0f0487dd9c9e,wxrt maniacs 2013-01-1301.flac,wxrt maniacs,assigned,yyyy-mm-dd,2013-01-13 00:00:00,01
d65bf36f137ef314aae684d386e058316014639a,01 Tomorrow Is A Long Time.flac,,blank,otros,,
7cd296e8e11e7513d537c759db93af919f731919,gd80-09-27d1t01.flac,gd,canonical,yy-mm-dd,1980-09-27 00:00:00,d1t01
5cbd012fe8f980c8bbe268f6001e75cafb62993d,gd80-10-23audd1t01.flac,gd,canonical,yy-mm-dd,1980-10-23 00:00:00,audd1t01
2205d2d513a8e5b38d4b6dbb7df927235b9e98ee,gd80-10-23audd1t01.flac,gd,canonical,yy-mm-dd,1980-10-23 00:00:00,audd1t01
dd92a3c933a58ab153701ad979446797e6ffcb0b,gd80-10-23s1t01.flac,gd,canonical,yy-mm-dd,1980-10-23 00:00:00,s1t01
656804b27f254414ed5fa6532d4fec219e5a6b04,lhb20090725.01.the shape i'm in .flac,lhb,maybeband,yy-mm-dd,2009-07-25 00:00:00,.01.the shape i'm in 
64cd7c0dc856648b63fb47574595c70d301beead,gd1981-05-01s1t01.flac,gd,canonical,yyyy-mm-dd,1981-05-01 00:00:00,s1t01
3c39e32bf0918ec3190ecda08442eba0d8b2faa8,1997June22BeauSolielD1tr01.flac,beausoliel,assigned,otros,,
9be5233045898c03b0e07ff79cd940316bf379fe,01 When The Saints Go Marching.flac,,blank,otros,,
80c04508f8e45d6750439ada84d2a525fe3774ae,01 I Love Being Here With You.flac,,blank,otros,,
91e1592b5caf5e806f1cd9488b830414ecdf5300,02 I Wouldn't Need You.flac,,blank,otros,,
caeb86bd23169f44917da7c89a43a25b7e6ff77d,1971-10-11 - This News Is Captured! - Wolverhampton - 101 Firebird Suite.flac,,blank,yyyy-mm-dd,1971-10-11 00:00:00, - This News Is Captured! - Wolverhampton - 101 Firebird Suite
4795999f9d8119eb2160c0fc0a106adc6b8ce100,GD1980-10-26-d1t01.shn,gd,canonical,yyyy-mm-dd,1980-10-26 00:00:00,-d1t01
5da2269bf14abe322c3d7e71f4358cb98bdbe518,gd80-10-31d1t01.flac,gd,canonical,yy-mm-dd,1980-10-31 00:00:00,d1t01
ac0ae80ba0d4446da25d36f60e6e93c49ab45cb2,jg1974-11-10d1t001.flac,jg,variant,yyyy-mm-dd,1974-11-10 00:00:00,d1t001
cb8d439ae4cb062ff60b833b73b555810a6dad69,jg1974-11-10s1t001.flac,jg,variant,yyyy-mm-dd,1974-11-10 00:00:00,s1t001
d0b4df4f5e0bdd6ad4a5643effa16861155ba4f9,gd1992-12-16d1t01.shn,gd,canonical,yyyy-mm-dd,1992-12-16 00:00:00,d1t01
6dba8c843ee1c24855eefaf4f95bc68528f5255c,gd1992-12-16d1t01.flac,gd,canonical,yyyy-mm-dd,1992-12-16 00:00:00,d1t01
e88ccb70869f4320ccd869b6a1123aad8b99b49a,gd1993-03-14.Nak300.t01.flac,gd,canonical,yyyy-mm-dd,1993-03-14 00:00:00,.Nak300.t01
03eeace4c71c275bb47483253425dd01f489ea54,gd1993-03-14.Nak300.t01.flac,gd,canonical,yyyy-mm-dd,1993-03-14 00:00:00,.Nak300.t01
efcc48315201f90536614d0b64acde4c16236480,Albert Collins _ the Icebreakers 1985-02-15 Chestnut Cabaret-a01.flac,albert collins _ the icebreakers,assigned,yyyy-mm-dd,1985-02-15 00:00:00, Chestnut Cabaret-a01
0607c5dab9c04ec171f04e878fef6b629888f4ac,01 After Midnight.flac,,blank,otros,,
4861bf245d84e2b1787b75159e2ff60a4baf9b5b,deadandco2016-07-10akg481set1t01.flac,deadandco,assigned,yyyy-mm-dd,2016-07-10 00:00:00,akg481set1t01
bc7dc6ae244c64e1b598eb721c41b20430387bf7,01 Cryptical Envelopment.flac,,blank,otros,,
7bccc3f6f904f7066e022b3a536b04f5cdd42170,gd1992-12-16d1t01.flac,gd,canonical,yyyy-mm-dd,1992-12-16 00:00:00,d1t01
