ID,Source,Sample File Name
80c04508f8e45d6750439ada84d2a525fe3774ae,LosslessLegs,01 I Love Being Here With You.flac
91e1592b5caf5e806f1cd9488b830414ecdf5300,LosslessLegs,02 I Wouldn't Need You.flac
caeb86bd23169f44917da7c89a43a25b7e6ff77d,LosslessLegs,1971-10-11 - This News Is Captured! - Wolverhampton - 101 Firebird Suite.flac
4795999f9d8119eb2160c0fc0a106adc6b8ce100,LosslessLegs,GD1980-10-26-d1t01.shn
5da2269bf14abe322c3d7e71f4358cb98bdbe518,LosslessLegs,gd80-10-31d1t01.flac
ac0ae80ba0d4446da25d36f60e6e93c49ab45cb2,LosslessLegs,jg1974-11-10d1t001.flac
cb8d439ae4cb062ff60b833b73b555810a6dad69,LosslessLegs,jg1974-11-10s1t001.flac
d0b4df4f5e0bdd6ad4a5643effa16861155ba4f9,LosslessLegs,gd1992-12-16d1t01.shn
6dba8c843ee1c24855eefaf4f95bc68528f5255c,LosslessLegs,gd1992-12-16d1t01.flac
e88ccb70869f4320ccd869b6a1123aad8b99b49a,LosslessLegs,gd1993-03-14.Nak300.t01.flac
03eeace4c71c275bb47483253425dd01f489ea54,LosslessLegs,gd1993-03-14.Nak300.t01.flac
efcc48315201f90536614d0b64acde4c16236480,LosslessLegs,Albert Collins _ the Icebreakers 1985-02-15 Chestnut Cabaret-a01.flac
0607c5dab9c04ec171f04e878fef6b629888f4ac,LosslessLegs,01 After Midnight.flac
4861bf245d84e2b1787b75159e2ff60a4baf9b5b,LosslessLegs,deadandco2016-07-10akg481set1t01.flac
bc7dc6ae244c64e1b598eb721c41b20430387bf7,LosslessLegs,01 Cryptical Envelopment.flac
7bccc3f6f904f7066e022b3a536b04f5cdd42170,LosslessLegs,gd1992-12-16d1t01.flac
e651eb1639a84447eef6b431107c1c124e3b0b87,LosslessLegs,gd1992-12-17d3t03.shn
3ac29ba967ac28a96ead52af843d13b5c5350f97,LosslessLegs,01 Gringo Honeymoon.flac
03bcddfb8e4c6e4df25f285517205919e41bca35,LosslessLegs,01 Gemini Dream.flac
99e52481abfa04f6fb74aeceb285467f67ca0237,LosslessLegs,01_I`m On Your Side.flac
5df5ff57572096269a817244744390f329bf98f1,LosslessLegs,DEADCo2016-07-10_MK41_SET0101.flac
ebfeaf7e323504cdfd162ce6574267d15eb42ea4,LosslessLegs,DEADCo2016-07-10_MK41_SET0101.flac
e6f6cfd7d46fb2ecee007c2629de3d0f67dc6515,LosslessLegs,gd1980-11-28d1t01.flac
87ec619615924cd0858add14592b79bc0d4a2fad,LosslessLegs,Side A.flac
e1b419107ab78bd52dd071334414ca212995d135,LosslessLegs,raccoon2016-07-08s1t01.flac
c8f97307c126820d7c00cf527a4175f50a8d0531,LosslessLegs,gd1982-02-19s1t01.flac
ec070835adce1eba9a03b518af66146f5c94c18b,LosslessLegs,gd95-07-09d1t01.flac
b0b7781b672765844db2b589304847a7dade1b23,LosslessLegs,gd80-11-30s1t01.flac
928f606ee9855f99d150b07efb1287dda7c8912f,LosslessLegs,gd80-12-06t01.shn
a01f5fbf498a17f4dce64f2177c44407c3c889ca,LosslessLegs,jg&ms74-11-14d1t1.shn
c643458491b631e3db4d92286bd85400e6f54220,LosslessLegs,jg+ms1974-11-14a-d1t01.shn
773324df63e78b2bc457e6c2c2b9e4f0efa084cc,LosslessLegs,gd92-12-17d1t01.flac
b94ea9d0e14c7bb94c29a8e1ff09ec4bf62edf51,LosslessLegs,01 - Once Bitten Twice Shy.flac
d8daac3d9cb330c2bf4d435e2c9e7fd7be91c922,LosslessLegs,01 Mustang Wine.flac
c6a201b20b5519b2ecb9e777997239b40f38165d,LosslessLegs,gd84-07-13s1t01.flac
61f321f2d52c5ce5891b347666a60b50a7e5a8e8,LosslessLegs,01 Se A Cabo.flac
13ee4f3cdfe96b0a6892052b9224df0751ebb3be,LosslessLegs,01-AudioTrack 01.flac
aa2250a21645e9c64a19eb95901c993cd6476625,LosslessLegs,jgms1974-11-14-early-t01.flac
53307fb5d801884ea1ce4818cec2f9e875793413,LosslessLegs,jgb74-11-15d2t202.shn
450fd8a5879963e324f16a46c2e9e3922990a2c6,LosslessLegs,gd84-07-14s1t01.flac
85636209d8f74159ddc682b7772b9152846b353b,LosslessLegs,01 Leslie Anne Levine.flac
f808ec4b46eb140fca6b9b73f6cbff76ee0e6641,LosslessLegs,d1t01.Neil Young-My My Hey Hey (Out Of The Blue).flac
6e1d7c55dadf4198590e53ddba3313ffed36b063,LosslessLegs,gd80-12-12d1t01.shn
b3bd982714f8f6c93bc511266eb02a92b8bc957e,LosslessLegs,gd80-12-12d2t04.shn
4d58b8e403a0413a2f3e6950802769356f6de42e,LosslessLegs,gd80-12-13IId1t01.shn
0fe3e0539cb19c01cac585450a143b246488f436,LosslessLegs,gd80-12-13d1t01.shn
738cb8e977eb45a84208e56496416edf668da2d2,LosslessLegs,01.flac
c3572aeb363a488f36ac708e713379c7c1677c81,LosslessLegs,01.flac
cbbd90fc0e02eddd5aead486b19abaff905e05c3,LosslessLegs,jg+ms1974-11-15bnewd1t03.shn
154611dc24d1e08028d3b67dd60e8fb9b3604131,LosslessLegs,jg+ms1974-11-16a-new-d1t05.shn
4b067b2c1a9579e4337f908fdc59b28c785d82c8,LosslessLegs,01.flac
39e0ab227d6401825eca5a50b2a5b654a2896719,LosslessLegs,01.flac
8e114ecc08456df04112149ae01c599da9220aca,LosslessLegs,gd80-12-14d1t01.flac
90750f6b2686e9f7f55b89078ea818fe917dc3fb,LosslessLegs,gd80-12-14d1t01.flac
1a048ca33254ba311b8d2fe507283b2a862a0feb,LosslessLegs,raccoon2016-07-09s01t01.flac
db10c2779ecc219fc389d7a316d741cbca199bdf,LosslessLegs,gd85-07-01oade-d1t01.flac
c5b894e28dc2b77f9653a9550eaacda839c2ed43,LosslessLegs,gd80-12-26d1t01.shn
991b7e06d01b1d55d0dae6965719fb4a21a6d0c6,LosslessLegs,gd80-12-26d1t01.flac
e0ebb4678c72816bdcd690e00210885d5b2be043,LosslessLegs,jlyys.2016-06-02.matrix.flac16.t01.flac
8f71073ff291fa22657e549bbdff1363ec350a32,LosslessLegs,lrb.2016-04-16.matrix.flac16.t01.flac
8cc79a065ad58d15c2a1714f3cfafa0e78598083,LosslessLegs,gd80-12-28d1t01.shn
6fb667c4dedf80bdb7417c9e4ccdf097baa47f34,LosslessLegs,1971-07-04CCRFillmoreImproved01.flac
10725b9a103f08eef43d37d53462c9d794bc9112,LosslessLegs,ny96-3-21d1t01.flac
ebbc827e4904f696a7dadbb86e6508296b8e8149,LosslessLegs,gd80-12-30d1t01.shn
aeb17578b25743ba65732f098c4bbde338728ce3,LosslessLegs,gd80-12-30snchk1.flac
ddaac85822bb97fcf592e8b17d3f294cd6b34895,LosslessLegs,jgms1974.11.27.GEMS.d1t01.flac
6d8058dd7686c16e17e9c9f7bfb7d84439611051,LosslessLegs,gd93-01-24d1t01.shn
98f59d64351a0d332ada8dc5420721947cfc1a90,LosslessLegs,JohnnyWinter1991-02-11.akg451.ssb.t01 Hideaway.flac
e13739ae8205c646ab8e3c6f886a840a8b185dae,LosslessLegs,01 - Dazed And Confused.flac
