rownumber,filename,filetype,band,abbrev_type,date,date_format,mics_etc,score
405,tyminski2016-06-11t01.flac,flac,tyminski,notfound,2016-06-11 00:00:00,yyyy-mm-dd,t01,4
404,anders2016-02-13d2t08.flac,flac,anders,notfound,2016-02-13 00:00:00,yyyy-mm-dd,d2t08,4
262,rem1985-08-25d1t01.flac,flac,rem,notfound,1985-08-25 00:00:00,yyyy-mm-dd,d1t01,4
290,jerryjoseph2016-06-17s1t01.flac,flac,jerryjoseph,notfound,2016-06-17 00:00:00,yyyy-mm-dd,s1t01,4
288,del2016-06-23t01.flac,flac,del,notfound,2016-06-23 00:00:00,yyyy-mm-dd,t01,4
287,jm2016-06-21s1t01.flac,flac,jm,notfound,2016-06-21 00:00:00,yyyy-mm-dd,s1t01,4
286,larry_mccray2016-06-18t01.flac,flac,larry_mccray,notfound,2016-06-18 00:00:00,yyyy-mm-dd,t01,4
280,kwmtal2016-06-30t01.flac,flac,kwmtal,notfound,2016-06-30 00:00:00,yyyy-mm-dd,t01,4
279,professor2016-06-29d01t09.flac,flac,professor,notfound,2016-06-29 00:00:00,yyyy-mm-dd,d01t09,4
275,nrps2016-06-29d01t09.flac,flac,nrps,notfound,2016-06-29 00:00:00,yyyy-mm-dd,d01t09,4
264,braitt1985-02-13 t-01.flac,flac,braitt,notfound,1985-02-13 00:00:00,yyyy-mm-dd,t-01,4
263,u2_1993-11-16.sbd.fradocarm.vgrm341_d1t01.flac,flac,u2,notfound,1993-11-16 00:00:00,yyyy-mm-dd,sbd.fradocarm.vgrm341_d1t01,4
381,dank2016-06-30s1t01.flac,flac,dank,notfound,2016-06-30 00:00:00,yyyy-mm-dd,s1t01,4
414,desertdwellers2016-07-02.mk4.psp2.zoomf8.24bit-t01.flac,flac,desertdwellers,notfound,2016-07-02 00:00:00,yyyy-mm-dd,mk4.psp2.zoomf8.24bit-t01,4
320,wsp2016-07-02s2t01.flac,flac,wsp,canonical,2016-07-02 00:00:00,yyyy-mm-dd,s2t01,4
415,friendsofthefamily2016-07-02.mk4.psp2.zoomf8.16bit-t01.flac,flac,friendsofthefamily,notfound,2016-07-02 00:00:00,yyyy-mm-dd,mk4.psp2.zoomf8.16bit-t01,4
611,wilco2016.10.07.01.flac,flac,wilco,canonical,2016-10-07 00:00:00,yyyy-mm-dd,01,4
1024,dmb2016-07-02.ck63.722.t01.flac,flac,dmb,canonical,2016-07-02 00:00:00,yyyy-mm-dd,ck63.722.t01,4
1029,jj1984-04-30 d01t01.flac,flac,jj,canonical,1984-04-30 00:00:00,yyyy-mm-dd,d01t01,4
1126,jj2005-05-04 d01t01.flac,flac,jj,canonical,2005-05-04 00:00:00,yyyy-mm-dd,d01t01,4
2962,pj1998-09-19d2t06.flac,flac,pj,canonical,1998-09-19 00:00:00,yyyy-mm-dd,d2t06,4
2957,pj1998-09-18mixd2t01.shn,shn,pj,canonical,1998-09-18 00:00:00,yyyy-mm-dd,mixd2t01,4
2949,pj1998-09-16d1t05.flac,flac,pj,canonical,1998-09-16 00:00:00,yyyy-mm-dd,d1t05,4
2929,pj1998-09-15mixd1t10.shn,shn,pj,canonical,1998-09-15 00:00:00,yyyy-mm-dd,mixd1t10,4
2912,pj1998-09-13d1t14.flac,flac,pj,canonical,1998-09-13 00:00:00,yyyy-mm-dd,d1t14,4
1253,dmb2016-07-08t22.flac,flac,dmb,canonical,2016-07-08 00:00:00,yyyy-mm-dd,t22,4
607,wsp2016-07-15s1t.01.flac,flac,wsp,canonical,2016-07-15 00:00:00,yyyy-mm-dd,s1t.01,4
542,phil2016-07-12d01t04.flac,flac,phil,canonical,2016-07-12 00:00:00,yyyy-mm-dd,d01t04,4
351,wilco2016-02-10t01.flac,flac,wilco,canonical,2016-02-10 00:00:00,yyyy-mm-dd,t01,4
350,wilco2016-02-11t01.flac,flac,wilco,canonical,2016-02-11 00:00:00,yyyy-mm-dd,t01,4
348,wsp2016-07-03s2t01.flac,flac,wsp,canonical,2016-07-03 00:00:00,yyyy-mm-dd,s2t01,4
347,wsp2016-07-03s2t01.flac,flac,wsp,canonical,2016-07-03 00:00:00,yyyy-mm-dd,s2t01,4
346,wsp2016-07-03s2t01.flac,flac,wsp,canonical,2016-07-03 00:00:00,yyyy-mm-dd,s2t01,4
337,gd1987-07-02-24bits01t01.flac,flac,gd,canonical,1987-07-02 00:00:00,yyyy-mm-dd,24bits01t01,4
332,wsp2016-06-26t01.flac,flac,wsp,canonical,2016-06-26 00:00:00,yyyy-mm-dd,t01,4
322,wsp2016-07-02s2t01.flac,flac,wsp,canonical,2016-07-02 00:00:00,yyyy-mm-dd,s2t01,4
321,wsp2016-07-02s2t01.flac,flac,wsp,canonical,2016-07-02 00:00:00,yyyy-mm-dd,s2t01,4
670,wsp2016-07-16s1t01.flac,flac,wsp,canonical,2016-07-16 00:00:00,yyyy-mm-dd,s1t01,4
647,wsp2016-07-16s1t01.flac,flac,wsp,canonical,2016-07-16 00:00:00,yyyy-mm-dd,s1t01,4
636,phil2016-07-17d02t02.flac,flac,phil,canonical,2016-07-17 00:00:00,yyyy-mm-dd,d02t02,4
427,elise2016-07-06d01t05.flac,flac,elise,notfound,2016-07-06 00:00:00,yyyy-mm-dd,d01t05,4
433,oakhurst2016-06-11t01.sbd.cm300s.cp1s.mtx.16bit.flac,flac,oakhurst,notfound,2016-06-11 00:00:00,yyyy-mm-dd,t01.sbd.cm300s.cp1s.mtx.16bit,4
462,mando2016-06-18d01t20.flac,flac,mando,notfound,2016-06-18 00:00:00,yyyy-mm-dd,d01t20,4
460,ryanadams2016-06-18d01t17.flac,flac,ryanadams,notfound,2016-06-18 00:00:00,yyyy-mm-dd,d01t17,4
444,hayley2016-07-06d01t08.flac,flac,hayley,notfound,2016-07-06 00:00:00,yyyy-mm-dd,d01t08,4
439,brotherscomatose2016-05-29_mk2sa01.flac,flac,brotherscomatose,notfound,2016-05-29 00:00:00,yyyy-mm-dd,mk2sa01,4
435,headforthehills2016-06-11t01.ca14s.omnis.onstage.16bit.flac,flac,headforthehills,notfound,2016-06-11 00:00:00,yyyy-mm-dd,t01.ca14s.omnis.onstage.16bit,4
434,headforthehills2016-06-11t01.sbd.cm300s.cp1s.mtx.16bit.flac,flac,headforthehills,notfound,2016-06-11 00:00:00,yyyy-mm-dd,t01.sbd.cm300s.cp1s.mtx.16bit,4
430,theweight2016-07-06.mk6.edtyre.d1.t01.flac,flac,theweight,notfound,2016-07-06 00:00:00,yyyy-mm-dd,mk6.edtyre.d1.t01,4
416,friendsofthefamily2016-07-02.mk4.psp2.zoomf8.24bit-t01.flac,flac,friendsofthefamily,notfound,2016-07-02 00:00:00,yyyy-mm-dd,mk4.psp2.zoomf8.24bit-t01,4
421,delmccouryband2016-06-16t01.flac,flac,delmccouryband,notfound,2016-06-16 00:00:00,yyyy-mm-dd,t01,4
629,sci2016-07-16.akg481.t03.flac,flac,sci,canonical,2016-07-16 00:00:00,yyyy-mm-dd,akg481.t03,4
420,wookiefoot2016-07-01.mk4.psp2.zoomf8.24bit-t01.flac,flac,wookiefoot,notfound,2016-07-01 00:00:00,yyyy-mm-dd,mk4.psp2.zoomf8.24bit-t01,4
419,wookiefoot2016-07-01.mk4.psp2.zoomf8.16bit-t01.flac,flac,wookiefoot,notfound,2016-07-01 00:00:00,yyyy-mm-dd,mk4.psp2.zoomf8.16bit-t01,4
418,kaminanda2016-07-01.mk4.psp2.zoomf8.24bit-t01.flac,flac,kaminanda,notfound,2016-07-01 00:00:00,yyyy-mm-dd,mk4.psp2.zoomf8.24bit-t01,4
417,kaminanda2016-07-01.mk4.psp2.zoomf8.16bit-t01.flac,flac,kaminanda,notfound,2016-07-01 00:00:00,yyyy-mm-dd,mk4.psp2.zoomf8.16bit-t01,4
378,feign2016-07-04d01t12.flac,flac,feign,notfound,2016-07-04 00:00:00,yyyy-mm-dd,d01t12,4
