ID,Sample File Name,Source
599855,Black_Art_Jazz_Collective-2017-06-29-tr01-stage_intro.flac,DimeaDozen
599856,01 Intro.flac,DimeaDozen
599857,01 Eric Clapton & His Band - Legs Lary Smith Introduction.flac,DimeaDozen
599858,"Volbeat - Parken, Copenhagen 08-26-2017_01.flac",DimeaDozen
599862,101. Rock and Roll.flac,DimeaDozen
599863,101. Introduction.flac,DimeaDozen
599866,01 Intro (Lock'n Festival  26.08.2017).flac,DimeaDozen
599867,Track01.flac,DimeaDozen
599868,01 Track01.flac,DimeaDozen
599869,09 - Because.flac,DimeaDozen
599871,13 All Around The World.flac,DimeaDozen
599873,10 40 ft.flac,DimeaDozen
599874,"2-09 John, I'm Only Dancing (Again).flac",DimeaDozen
599881,emily04.flac,DimeaDozen
599884,01 Yank Me Crank Me.flac,DimeaDozen
599887,04 Goin' Down To Laurel.flac,DimeaDozen
599888,04 Everyday I Have To Cry Some - Complications.flac,DimeaDozen
599896,Oregon 1974-03-14 Bremen-1.flac,DimeaDozen
599898,01 Frame In Your Mind.flac,DimeaDozen
599900,Lambchop 2017-02-15 Munich-1.flac,DimeaDozen
599903,01- Plutonia.flac,DimeaDozen
599905,01 - Boredom.flac,DimeaDozen
599909,01 Cold Rain And Snow.flac,DimeaDozen
599911,205-Pay Me My Money Down.flac,DimeaDozen
599912,ps2003-12-29d1t01 Privilege.flac,DimeaDozen
599913,01 - soundcheck.flac,DimeaDozen
599914,25 Sympathy For The Devil.flac,DimeaDozen
599915,TerjeRypdal 2017-08-25_t01.flac,DimeaDozen
599916,01 Intro.flac,DimeaDozen
599917,01 Intro.flac,DimeaDozen
599918,04 - Kew. Rhone..flac,DimeaDozen
599919,12.It's Gettin' Better (Man!!).flac,DimeaDozen
599920,11 - Impro.flac,DimeaDozen
599921,1 - Radio intro.mp2,DimeaDozen
599922,01 Feel Like A Stranger.flac,DimeaDozen
599924,01 Intro.flac,DimeaDozen
599925,NMO 2015-04-09 D2 t09.flac,DimeaDozen
599927,helmet_1993-4-15t01.flac,DimeaDozen
599929,JohnMayall2016-04-30t01.flac,DimeaDozen
599931,John Mayer 2017-08-20 Hartford-01-Helpless.flac,DimeaDozen
599933,00 - (last soundchecks).flac,DimeaDozen
599934,D1Track01.flac,DimeaDozen
599935,05 - The Noonward Race.flac,DimeaDozen
599938,02 - Meeting of the Spirits.flac,DimeaDozen
599939,01 True To Life.flac,DimeaDozen
599940,wilco1999-08-31d1Track01.flac,DimeaDozen
599942,wilco2006-07-16d1t01.flac,DimeaDozen
599945,02.flac,DimeaDozen
599947,01 manhattan rhapsody 10-42.flac,DimeaDozen
599949,08.flac,DimeaDozen
599952,1- Colours to Life.flac,DimeaDozen
599953,101.flac,DimeaDozen
599955,BostonSO-2017-03-18-tr01-radio_intro.flac,DimeaDozen
599956,10.flac,DimeaDozen
599958,101 Matt's Funk.flac,DimeaDozen
599960,01 - A Poil les Filles.flac,DimeaDozen
599962,01.flac,DimeaDozen
599963,01 In the Fade.flac,DimeaDozen
599970,202 - One Word.flac,DimeaDozen
599971,rhcp1991-10-20t01.flac,DimeaDozen
599973,10 - Rapid Shave.flac,DimeaDozen
599974,Joanna Gruesome 2017-07-29t01.flac,DimeaDozen
599981,01 Jekusiel.mp2,DimeaDozen
599982,Track06.flac,DimeaDozen
599984,01 Intro.flac,DimeaDozen
599985,01 Intro.flac,DimeaDozen
599986,02. Improvisation EQ.flac,DimeaDozen
599987,Track 01.flac,DimeaDozen
599989,01_jazz.flac,DimeaDozen
599991,n1984-12-06-d1t01.flac,DimeaDozen
599992,TerjeRypdal 2017-08-26_t01.flac,DimeaDozen
599995,09 Midnight Rambler.flac,DimeaDozen
599998,01.flac,DimeaDozen
599999,01 Intro.flac,DimeaDozen
600002,Track15 Party Girl.shn,DimeaDozen
600007,EC 19770831 01. Welcome To The Working Week.flac,DimeaDozen
600008,01 - Meeting of the Spirits- Miles Beyond.flac,DimeaDozen
600009,Lineage : CD>EAC(secure)>Wav>FlacFrontend(level6).flac,DimeaDozen
600010,01 World Peace.flac,DimeaDozen
600012,01 jabberwocky.flac,DimeaDozen
600014,SRV 1978 Soap Creek Saloon D1 Tr01.flac,DimeaDozen
600016,01 - Scuttle Buttin'.flac,DimeaDozen
600020,03 (BBC In Concert) Meeting of the Spirits.flac,DimeaDozen
600021,Vintage Trouble  Oakland Art & Soul Fest  8-03-13  ccm4s DIME edit  EQ-final01.flac,DimeaDozen
600022,"Deep Purple - August 30, 2017 - t01.flac",DimeaDozen
600023,21.flac,DimeaDozen
600025,PJ Harvey Poble Espanyol de Barcelona 01.flac,DimeaDozen
600026,THE WAILERS 28th August 2017 Razzmatazz 2 Barcelona wav01.flac,DimeaDozen
600029,01 - King of the Mountain - Midnight Oil.flac,DimeaDozen
600030,ps2001-12-30d1t01 December.flac,DimeaDozen
600031,ps1975-12-20d1t01.flac,DimeaDozen
600032,ps1976-03-27d1t01.flac,DimeaDozen
600040,01 Intro.flac,DimeaDozen
600042,Track12.flac,DimeaDozen
600045,11.flac,DimeaDozen
600046,bobseger2017-08-30t01.flac,DimeaDozen
600048,Moester 2017-08-18_t01.flac,DimeaDozen
600049,01 Dylan Beacon NYC 891011 - JCs.flac,DimeaDozen
600050,03 C.T.A..flac,DimeaDozen
600051,01.flac,DimeaDozen
600052,204 Marys Place.flac,DimeaDozen
600056,01 Don't Say.flac,DimeaDozen
600061,01 - Do The Slag.flac,DimeaDozen
600063,sos1986-02-19d1t01.flac,DimeaDozen
600064,01 Intro.flac,DimeaDozen
600066,Track_01.flac,DimeaDozen
600068,01. Intro.flac,DimeaDozen
600069,09 - Pacific Express.flac,DimeaDozen
600071,01 Privilege.flac,DimeaDozen
600073,00 - (last soundchecks).flac,DimeaDozen
600074,Slo Burn_Las Vegas NV 2017-08-18_12_Pilot the Dune.flac,DimeaDozen
600077,PF-17Sep1994 Mutinae d2t01.shn,DimeaDozen
600078,01.flac,DimeaDozen
600079,01. Death's Head Tattoo.flac,DimeaDozen
600080,artist - Track 01.flac,DimeaDozen
600081,Track15.flac,DimeaDozen
600084,01. intro.flac,DimeaDozen
600085,Track01 Take The A Train.flac,DimeaDozen
600086,"1- Allegro, op87.flac",DimeaDozen
600087,01 - Birds Of Fire.flac,DimeaDozen
600088,04 - Hope.flac,DimeaDozen
600089,01 Gotta serve somebody.flac,DimeaDozen
600090,CD 1 - 01 Under My Thumb.flac,DimeaDozen
600092,FooFighters2017-09-01t01.flac,DimeaDozen
600093,01 Intro.flac,DimeaDozen
600094,00.Show Start.flac,DimeaDozen
600097,01 Are We Alright.flac,DimeaDozen
600099,01 Beacon 891013 part 2.flac,DimeaDozen
600101,01 Corrected - Dylan URI So Kingston 891022.flac,DimeaDozen
600102,01 Intro.flac,DimeaDozen
600103,bjm-2012-05-12.aud.sp-cmc-25-mullen.flac,DimeaDozen
600107,1.01.Bastille Day.shn,DimeaDozen
600109,rush1978-11-20_SOT_d1t01.flac,DimeaDozen
600110,14 beth.flac,DimeaDozen
600112,01.flac,DimeaDozen
600114,bs1980-11-30D3T05.flac,DimeaDozen
600117,Track03.flac,DimeaDozen
600118,01 Intro.flac,DimeaDozen
600119,mylifestory2017-08-05at831t01.flac,DimeaDozen
600120,sfas1979-04-30d1t01.flac,DimeaDozen
600121,01_soundgarden_01131990.flac,DimeaDozen
600122,13 Temple Of Love.flac,DimeaDozen
600123,01 Skating Away on the Thin Ice of a New Day.flac,DimeaDozen
600124,01 Terry Ellis Intro.flac,DimeaDozen
600125,artist - Track 01.flac,DimeaDozen
600127,14 Temple Of Love.flac,DimeaDozen
600128,sos1986-02-20d1t01.flac,DimeaDozen
600129,Skinny Girl Diet 2017-07-30t01.flac,DimeaDozen
600132,00 Into The Arena~Pre-Show Announcement.flac,DimeaDozen
600133,10 Burnt With Water.flac,DimeaDozen
600140,LucindaWilliams2017-08-26track01.flac,DimeaDozen
600141,01 intro.flac,DimeaDozen
600142,ABC 19830214 Paris FM01.flac,DimeaDozen
600144,BostonSO-2017-03-25-tr01-radio_intro_A.flac,DimeaDozen
600145,d2 t02.flac,DimeaDozen
600146,05 - Round And Around.flac,DimeaDozen
600147,d1t01.flac,DimeaDozen
600149,10-ONT~1.flac,DimeaDozen
600150,01.flac,DimeaDozen
600151,01 Take It Easy.flac,DimeaDozen
600153,01 Be More Kind.flac,DimeaDozen
600154,colter wall - 2017-08-27 - tonder - t01.flac,DimeaDozen
600157,Unknown Artist 01. Track01.flac,DimeaDozen
600160,Rush_Waltz-of-the-Shreves_CD1_01.shn,DimeaDozen
600161,Track01.shn,DimeaDozen
600162,bjoel20170830t27.flac,DimeaDozen
600163,03 Larry.flac,DimeaDozen
600164,01 Mary Mary.flac,DimeaDozen
600168,cd1 track01.flac,DimeaDozen
600169,01 Intro.flac,DimeaDozen
600174,sosf86-02-24interview01.flac,DimeaDozen
600178,01 Dance Me To The End Of Love.flac,DimeaDozen
600180,01 Bad Boys - Children Of The NightÂ .flac,DimeaDozen
600181,101 Bad Boys - Children Of The Night - Bad Boys (repr.).flac,DimeaDozen
600183,tbt-2014-09-28-t01.flac,DimeaDozen
600186,IronMaiden_20170527_CD1_01.flac,DimeaDozen
600188,Depeche Mode_2017-09-01_t01.flac,DimeaDozen
600190,01 Opening Shuffle.flac,DimeaDozen
600191,05 When Good Dogs Do Bad Things.flac,DimeaDozen
600192,"01 The Fool, The Meddling Idiot.flac",DimeaDozen
600195,01 - (x) My Love (The Storm).flac,DimeaDozen
600196,01 - Anxiety.flac,DimeaDozen
600198,01 RATKOS.flac,DimeaDozen
600199,artist - Track 01.flac,DimeaDozen
600200,01.flac,DimeaDozen
600201,IABD 2017-08-24 set1 tr01.flac,DimeaDozen
600203,1 Audio Track.flac,DimeaDozen
600204,01 - Intro - The Fall.flac,DimeaDozen
600205,"Editors 2017-08-17 18. Papillon (Pukkelpop, Kiewit, FM).flac",DimeaDozen
600206,"Elbow 2017-08-18 06. One Day Like This (Pukkelpop, Kiewit, FM).flac",DimeaDozen
600207,"Bob Dylan 2014-09-03 Sydney, Australia t-01.flac",DimeaDozen
600208,01- Chiuso dall'Interno.flac,DimeaDozen
600209,01-intro.flac,DimeaDozen
600212,ViolentFemmes1996-02-13t01.flac,DimeaDozen
600215,22 - La Tortue Magique suite.flac,DimeaDozen
600217,BostonSO-2017-04-01-tr01-radio_intro-A.flac,DimeaDozen
600218,Track_01.flac,DimeaDozen
600219,Track 01.flac,DimeaDozen
600220,Track_01.flac,DimeaDozen
600221,lucinda williams - 2017-08-24 - tonder - t01.flac,DimeaDozen
600222,01. I Wanna Be Adored.flac,DimeaDozen
600223,01 Track 1.flac,DimeaDozen
600225,Track_01.flac,DimeaDozen
600226,Track_01.flac,DimeaDozen
600227,01 Dance Me To The End Of Love.flac,DimeaDozen
600231,Track_01.flac,DimeaDozen
600232,Track_01.flac,DimeaDozen
600234,"Midnight Oil 2017-08-21 Terminal 5, NYC01.flac",DimeaDozen
600235,Track0101.flac,DimeaDozen
